"","ID","Position","EAP","SE"
"610",77,2,1.386,0.308
"611",77,3,1.564,0.264
"612",77,4,1.591,0.231
"613",77,5,1.576,0.209
"614",77,6,1.662,0.196
"615",77,7,1.723,0.184
"616",77,8,1.77,0.174
"617",78,1,-0.544,0.726
"618",78,2,-0.845,0.648
"619",78,3,-1.109,0.606
"620",78,4,-1.254,0.575
"621",78,5,-1.359,0.557
"622",78,6,-1.434,0.547
"623",78,7,-1.473,0.538
"624",78,8,-1.573,0.544
"625",79,1,-0.544,0.726
"626",79,2,-0.845,0.648
"627",79,3,-1.109,0.606
"628",79,4,-1.254,0.575
"629",79,5,-1.359,0.557
"630",79,6,-1.434,0.547
"631",79,7,-1.473,0.538
"632",79,8,-1.573,0.544
"633",80,1,-0.544,0.726
"634",80,2,-0.002,0.391
"635",80,3,0.088,0.303
"636",80,4,0.125,0.26
"637",80,5,0.07,0.244
"638",80,6,0.011,0.234
"639",80,7,0.008,0.217
"640",80,8,-0.002,0.203
"641",81,1,-0.544,0.726
"642",81,2,-0.845,0.648
"643",81,3,-0.447,0.403
"644",81,4,-0.587,0.38
"645",81,5,-0.426,0.299
"646",81,6,-0.506,0.286
"647",81,7,-0.387,0.247
"648",81,8,-0.335,0.226
"649",82,1,-0.544,0.726
"650",82,2,-0.845,0.648
"651",82,3,-1.109,0.606
"652",82,4,-0.625,0.387
"653",82,5,-0.719,0.368
"654",82,6,-0.554,0.299
"655",82,7,-0.616,0.288
"656",82,8,-0.675,0.282
"657",83,1,-0.544,0.726
"658",83,2,-0.002,0.391
"659",83,3,0.088,0.303
"660",83,4,0.125,0.26
"661",83,5,0.07,0.244
"662",83,6,0.011,0.234
"663",83,7,0.008,0.217
"664",83,8,-0.002,0.203
"665",84,1,-0.544,0.726
"666",84,2,-0.845,0.648
"667",84,3,-1.109,0.606
"668",84,4,-1.254,0.575
"669",84,5,-1.359,0.557
"670",84,6,-1.434,0.547
"671",84,7,-1.473,0.538
"672",84,8,-1.573,0.544
"673",85,1,0.6,0.417
"674",85,2,0.713,0.299
"675",85,3,0.764,0.251
"676",85,4,0.643,0.233
"677",85,5,0.644,0.21
"678",85,6,0.717,0.195
"679",85,7,0.671,0.185
"680",85,8,0.613,0.179
"681",86,1,1.762,0.461
"682",86,2,1.731,0.325
"683",86,3,1.942,0.267
"684",86,4,1.969,0.234
"685",86,5,1.887,0.215
"686",86,6,1.934,0.197
"687",86,7,1.964,0.185
"688",86,8,1.986,0.174
"689",87,1,1.17,0.43
"690",87,2,1.031,0.312
"691",87,3,1.213,0.264
"692",87,4,1.223,0.227
"693",87,5,1.271,0.206
"694",87,6,1.289,0.191
"695",87,7,1.281,0.18
"696",87,8,1.302,0.17
